page,environment,source_text,raw_url,canonical_url,head_raw,get_raw,head_canonical,get_canonical,final_status,error_code,retry_result,classification,evidence_path
hosting,production,BẢO MẬT,https://www.pavietnam.vn/vn/webguard.html,,0,0,,,FAIL,HTTP_STATUS_0_NO_RESPONSE,NOT_RETRIED,ENVIRONMENT_ERROR,evidence/7ae3c78c-7c06-458b-b7b3-aa148bfd6930/hosting/production/target/collector/production-scan.json
hosting,production,DỊCH VỤ,https://www.pavietnam.vn/vn/bao-mat-thong-tin-ten-mien-id-protect.html,,0,0,,,FAIL,HTTP_STATUS_0_NO_RESPONSE,NOT_RETRIED,ENVIRONMENT_ERROR,evidence/7ae3c78c-7c06-458b-b7b3-aa148bfd6930/hosting/production/target/collector/production-scan.json
hosting,production,Xem các gói,https://www.pavietnam.vn/vn/hosting/wordpress-vip,,0,0,,,FAIL,HTTP_STATUS_0_NO_RESPONSE,NOT_RETRIED,ENVIRONMENT_ERROR,evidence/7ae3c78c-7c06-458b-b7b3-aa148bfd6930/hosting/production/target/collector/production-scan.json
hosting,ote,Cisco,https://www-ote.pavietnam.vn/vn/phan-mem/cisco,,0,0,,,FAIL,HTTP_STATUS_0_NO_RESPONSE,NOT_RETRIED,ENVIRONMENT_ERROR,evidence/7ae3c78c-7c06-458b-b7b3-aa148bfd6930/hosting/ote/target/collector/ote-scan.json
hosting,ote,Đăng nhập,https://www-ote.pavietnam.vn/index.php?act=check&pa=auth,,0,0,,,FAIL,HTTP_STATUS_0_NO_RESPONSE,NOT_RETRIED,ENVIRONMENT_ERROR,evidence/7ae3c78c-7c06-458b-b7b3-aa148bfd6930/hosting/ote/target/collector/ote-scan.json
hosting,ote,HPE,https://www-ote.pavietnam.vn/vn/phan-mem/hpe,,0,0,,,FAIL,HTTP_STATUS_0_NO_RESPONSE,NOT_RETRIED,ENVIRONMENT_ERROR,evidence/7ae3c78c-7c06-458b-b7b3-aa148bfd6930/hosting/ote/target/collector/ote-scan.json
hosting,ote,Leveno-IBM,https://www-ote.pavietnam.vn/vn/phan-mem/leveno-ibm,,0,0,,,FAIL,HTTP_STATUS_0_NO_RESPONSE,NOT_RETRIED,ENVIRONMENT_ERROR,evidence/7ae3c78c-7c06-458b-b7b3-aa148bfd6930/hosting/ote/target/collector/ote-scan.json
hosting,ote,Linux,https://www-ote.pavietnam.vn/vn/phan-mem/linux,,0,0,,,FAIL,HTTP_STATUS_0_NO_RESPONSE,NOT_RETRIED,ENVIRONMENT_ERROR,evidence/7ae3c78c-7c06-458b-b7b3-aa148bfd6930/hosting/ote/target/collector/ote-scan.json
hosting,ote,Synology,https://www-ote.pavietnam.vn/vn/phan-mem/synology,,0,0,,,FAIL,HTTP_STATUS_0_NO_RESPONSE,NOT_RETRIED,ENVIRONMENT_ERROR,evidence/7ae3c78c-7c06-458b-b7b3-aa148bfd6930/hosting/ote/target/collector/ote-scan.json
